sentence,processing_sentence
고객요청사항리모컨파손 배송요청 본인 문자발송 통합설정문자발송 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 파손 배송 요청 본인 문자 발송 통합 설정 문자 발송 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항셋탑이상셋탑이자꾸다운됨연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 셋탑 이상 셋탑이 자꾸 다운됨 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
리셋접수 시간 내외 리콜 안내 고객요청사항수신불회선단말특이사항진단결과기타추가연락처,리셋 접수 시간 내외 리콜 안내 고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항회선단말특이사항진단결과기타추가연락처코로나이상무재확인필기가지니수신불리모컨상세점검요청,고객 요청사항 회선 단말 특이사항 진단 결과 기타 추가 연락처 코로나 이 상 무재 확인 필기가 지니 수신 부을 리모컨 상세 점검 요청
고객요청사항추티수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 추티수신불회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불방문전연락요회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 방문 전 연락 요 회선 단말 특이사항 진단 결과 기타 추가 연락처
 시 안됨재부팅해도안됨,시 안됨 재부팅해도 안 됨
고객요청사항시시수신불 잦은고장불만  근본적인 해결요청 회선단말특이사항진단결과기타추가연락처,고객 요청사항 시시 수신 불 잦은 고장 불만 근본적인 해결 요청 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항멀 티 수신불리모컨점검요올인홈정상리셋동일연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 멀 티 수신 부을 리모컨 점검요 올인 홈 정상리 셋 동이연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항셋탑이상리셋후동일연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 셋탑 이상리 셋 후 동일 연 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항리모컨작동불가 농성동 쪽도 교체요청 매장안내 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불가 농성동 쪽도 교체 요청 매장 안내 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불셋탑박스 미설치동시점검요청회선단말특이사항진단결과정상시험안 됨기타추가연락처코로나안내유료화안내,고객 요청사항 수신 볼 셋탑박스 미설치 동시 점검 요청 회선 단말 특이사항 진단 결과 정상 시험 안 됨이 타 추가 연락처 코로나 안내 유료화 안내
고객요청사항랜선 길게 연결 요청댁내이전 필요할 수도 있다고 안내드림회선단말특이사항진단결과기타추가연락처,고객 요청사항란 선 길게 연결 요청 댁내 이전 필요할 수도 있다고 안내 드림 회선 단말 특이사항 진단 결과 기타 추가 연락처
멀코로나무셋톱분실기가지니분실보상금발생안내오후늦은방문요청고객요청사항회선단말특이사항진단결과기타추가연락처,멀 코로나무 셋톱 분실기가 지니 분실 보상금 발생 안내 오후 늦은 방문 요청 고객 요청사항 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항 수신불량넷플릭스  방문전연락요청함 코로나무회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불량 넷플릭스 방문 전 연락 요청함 코로 나무 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항수신불회선단말특이사항진단결과기타추가연락처,고객 요청사항 수 선불 회선 단말 특이사항 진단 결과 기타 추가 연락처
일리셋이관추가 티 수신불상태리모컨 불량인지도 확인어렵다함리셋안내리셋 해보고 접수한다심회선단말특이사항진단결과정상기타추가연락처,일리 셋이 관치가 티 수신 불 상태 리모컨 불량인지도 확인 어렵다 함 리 셋 안내 리셋해보고 접수한 다심 회선 단말 특이사항 진단 결과 정상기 타 추가 연락처
고객요청사항리모컨 작동불가  리모컨 건전지 교체해도 동일함 지점안내 받았으나 거절  택배배송등록함 통화중 끊김  오비 진행 연락처 확인함 회선단말특이사항진단결과기타추가연락처,고객 요청사항 리모컨 작동 불가 리모컨 건전지 교체해도 동일함 지점 안내받았으나 거절 택배 배송 등록함 통화 중 끊김 오비 진행 연락처 확인함 회선 단말 특이사항 진단 결과 기타 추가 연락처
월일시큰방에설치된 셋탑 선재연결,월 일 시큰 방에 설치된 셋탑 선재 연결
고객요청사항수신불네트워크이상구간 빨간불장비리셋동일회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 네트워크 이상 구간 빨간불 장비니 셋 동일 회선 단말 특이사항 진단 결과 기타 추가 연락처
멀고객요청사항리모컨깨짐등록전송  회선단말특이사항진단결과기타추가연락처최지영 ,멀고 객 요청사항 리모컨 깨짐 등록 전송 회선 단말 특이사항 진단 결과 기타 추가 연락처 최지영
명절전에 아래내용으로 요청했는데 아직도 조치 안되어져 있어 불만이십니다 빠른 조치 요청하십니다주소강원도 원주시 귀래면 북원로 연락처 요청자 김정태요청내용 외부 인터넷선이 나무에 칭칭 감겨서 있다고함 올라갈수가 없다며 나와서 선 정리 해달라심,명절 전에 아래 내용으로 요청했는데 아직도 조치 안 되어 있어 불만이십니다 빠른 조치 요청하십니다 주소 강원도 원주시 귀래면 북원으로 연락처 요청자 김정태 요청 내용 외부 인터넷 선이 나무에 칭칭 감겨서 있다고 함 올라갈 수가 없다며 나와서 선 정리 해달라심
코로나무고객요청사항 세입자가 나가고 다른 세입자 받을려고하니   연결선이 빠져있다며 방문하여  연결요청임의회선 접수회선단말특이사항진단결과기타추가연락처,코로 나무 고객 요청사항 세입자가 나가고 다른 세입자 받으려고 하니 연결선이 빠져 있다며 방문하여 연결 요청 임의 회 선 접수회 선 단말 특이사항 진단 결과 기타 추가 연락처
배송접수 리모컨 작동불  등록해드림,배송 접수 리모컨 작동 불 등록해 드림
고객요청사항임의  수신불 주소확인 회선단말특이사항진단결과기타추가연락처,고객 요청사항 임의 수신 불 주소 확인 회선단 말이 특이 사항 진단 결과 기타 추가 연락처
고객요청사항티시청안됨리모컨작동안됨회선단말특이사항진단결과기타추가연락처,고객 요청사항 티 시청 안됨 리모컨 작동 안 됨 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나 이상무 재확인필 고객요청사항리모컨 교체 기자니지회선단말특이사항진단결과기타추가연락처인 ,코로나 이 상무 재확인 필 고객 요청사항 리모컨 교체 기자니 지 회선 단말 특이사항 진단 결과 기타 추가 연락처인
고객요청사항작동이상 지니주전원 빨간불에서 흰불로 안바뀜 리셋후 동일 회선단말특이사항진단결과정상 기타추가연락처,고객 요청사항 작동 이상 지으니 주 전원 빨간불에서 흰 불로 안 바뀜 리셋 후 동일 회선단 말이 특이 사항 진단 결과 정상 기타 추가 연락처
코로나이상무재확인필고객요청사항티 끊김회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 티 끊김 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 시청 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
장애안내드림,장애 안내 드림
일 시수신불셋탑재부팅인입 권유시 고객 선 종료,일 시 수신 뿔 셋 탑재 부팅인 입 권유 시 고객 선 종료
티비교체후 수신불인입 접수안내했으나 지니로 교체한다고 보류,티브이 교체 후 수신 불인 입 접수 안내했으나 지니로 교체한다고 보류
리셋후 재사용요청,리셋 후 재사용 요청
고객요청사항 수신불 회선단말특이사항진단결과기타추가연락처,고객 요청사항 수신 불 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항시청불회선단말특이사항진단결과비정상기타추가연락처,고객 요청사항 시청 불회선 단말 특이사항 진단 결과 비정상 기타 추가 연락처
고객요청사항셋탑고장전원안들어옴연후방회선단말특이사항진단결과기타추가연락처,고객 요청사항 셋 탑 고장 전 원안 들어 옴은 후방 회선 단말 특이사항 진단 결과 기타 추가 연락처
고객요청사항개통당시 없어 시청없었다함 선연결했는데 시청안안된다함회선단말특이사항진단결과기타추가연락처,고객 요청사항 개통 당시 없어 시청 없었다 함 선 연결했는데 시청 안 안 된 다함 회선 단말 특이사항 진단 결과 기타 추가 연락처
코로나이상무재확인필고객요청사항리모컨 방문 기가지니회선단말특이사항진단결과기타추가연락처,코로나 이 상무 재확인 필 고객 요청사항 리모컨 방문 기가 지니 회선 단말 특이사항 진단 결과 기타 추가 연락처
독촉꼼꼼고객요청사항에어셋탑수시끊김무선으로시청하여신잘못받음에토요일점검시선을빼놓으면처리해주겠다고안내받음에서못해준다고고객이직접선을빼놓으라고하여선을빼놨다고방문하여처리해달라고함회선단말특이사항진단결과기타추가연락처,독촉 꼼꼼 고객 요청사항에 어 셋탑 수시 끊김 무선으로 시청하여 신잘못 받음에 토요일 점검 시선을 빼놓으면 처리해주겠다고 안내받음에서 못해준다고 고객이 직접 선을 빼놓으라고 하여 선을 빼놨다고 방문하여 처리해달라고 한 회 선 단말 특이사항 진단 결과 기타 추가 연락처
